name,developer,location,min_price,max_price,avg_price,min_area,max_area,avg_area,min_bedrooms,max_bedrooms,delivery_year,project_url,unit_count,price_range
LONDON Northcoast,JD Holding,North Coast,1850000,5782718,3352327.727272727,45,90,60.45454545454545,0,2,2025.0,https://www.propertyhub.site/properties/projects/icbqc8rvok1dh851xy94?page=1,11,"1,850,000 - 5,782,718"
Icity New Cairo,Mountain View,New Cairo,10139052,95248803,24733699.43119266,110,565,206.19266055045875,1,6,2025.0,https://www.propertyhub.site/properties/projects/icity_new_cairo?page=1,109,"10,139,052 - 95,248,803"
Icity October,Mountain View,6th Of October,9763495,32341323,18299922.45,62,315,196.47333333333333,2,5,2025.0,https://www.propertyhub.site/properties/projects/icity_october?page=1,300,"9,763,495 - 32,341,323"
HAYAH October Residence,Jawad developments,6th Of October,4000000,7900000,6221174.777777778,105,187,151.0,2,3,2025.0,https://www.propertyhub.site/properties/projects/iefqds7cl32ro39vbodq?page=1,9,"4,000,000 - 7,900,000"
North Code,Code Developments,North Coast,2350000,5980000,4401428.571428572,42,135,82.57142857142857,1,3,2025.0,https://www.propertyhub.site/properties/projects/ifdoxvnqgi761iikrfjp?page=1,7,"2,350,000 - 5,980,000"
Suli Golf Residence,UC,New Capital,6012300,13584150,8961401.25,128,337,211.25,2,5,2025.0,https://www.propertyhub.site/properties/projects/ige2v9ijmhnk1gnlau2w?page=1,8,"6,012,300 - 13,584,150"
Solana East,ORA,New Cairo,13955000,62873000,26586641.025641024,95,221,143.76923076923077,1,4,2025.0,https://www.propertyhub.site/properties/projects/iljgpkgz9j7ogib9mg2b?page=1,39,"13,955,000 - 62,873,000"
Rio Villas,GuP,6th Of October,9000000,11440000,9405000.0,234,241,240.125,3,3,2025.0,https://www.propertyhub.site/properties/projects/iq4n8a68eknuwg8dlqhj?page=1,8,"9,000,000 - 11,440,000"
Aliva,Mountain View,El Mostakbal City,10464676,104191594,22957047.5,110,525,212.4591836734694,2,6,2025.0,https://www.propertyhub.site/properties/projects/ismxode0n41def289itp?page=1,490,"10,464,676 - 104,191,594"
De Joya 4,Taj Misr,New Capital,5766000,15158000,8392971.42857143,125,323,175.74285714285713,2,4,2025.0,https://www.propertyhub.site/properties/projects/isqqhly5eopl1hsx0gqj?page=1,35,"5,766,000 - 15,158,000"
Moon Hills 3,sakan development,6th Of October,17000000,17000000,17000000.0,378,378,378.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/itjwbpwakmivhmr99m3k?page=1,1,"17,000,000 - 17,000,000"
THE BUTTERFLY,MNHD,El Mostakbal City,5518228,34044886,14845168.208196722,72,259,172.03770491803277,1,5,2025.0,https://www.propertyhub.site/properties/projects/itoe4vhhlyyfyc9cbh2j?page=1,610,"5,518,228 - 34,044,886"
Capella Residence,Winvestor Development,,3305000,5129000,4062000.0,105,159,134.5,2,3,2025.0,https://www.propertyhub.site/properties/projects/ix38l3r5crw7a0g3153e?page=1,16,"3,305,000 - 5,129,000"
RAVIE,CPD,New Capital,4445200,11406150,7653091.2,5,355,209.2,2,6,2025.0,https://www.propertyhub.site/properties/projects/ixdas9k3rs5r87n37ft7?page=1,15,"4,445,200 - 11,406,150"
Yardin,Mass Development,New Cairo,3779635,9210410,5965594.416666667,66,139,106.66666666666669,1,3,2025.0,https://www.propertyhub.site/properties/projects/iy30y8j7y28zlkx3o5eq?page=1,12,"3,779,635 - 9,210,410"
River Residence,West Way,6th Of October,4007520,7650133,5500352.0,130,230,168.0,2,3,2025.0,https://www.propertyhub.site/properties/projects/j2js7zbwhypfqq519g0c?page=1,10,"4,007,520 - 7,650,133"
JAYD,SED,New Cairo,10940000,14394000,12253437.5,14,170,90.4375,3,3,2025.0,https://www.propertyhub.site/properties/projects/jayed?page=1,16,"10,940,000 - 14,394,000"
Jefaira,Inertia,North Coast,8265000,35656000,13517238.227146814,4,253,115.90027700831024,2,4,2025.0,https://www.propertyhub.site/properties/projects/jefaira?page=1,361,"8,265,000 - 35,656,000"
TALDA,HDP,El Mostakbal City,4975921,25120589,10681377.445783133,89,295,163.90361445783134,1,5,2025.0,https://www.propertyhub.site/properties/projects/jhabt61nf6e7za8ee88c?page=1,166,"4,975,921 - 25,120,589"
Plage,Mountain View,North Coast,11467036,28102373,15807717.651226155,107,190,125.7465940054496,2,4,2025.0,https://www.propertyhub.site/properties/projects/jiht92dz0m7e7heuvgtp?page=1,367,"11,467,036 - 28,102,373"
Cala,Capital Link,,8368773,11364196,9786834.222222222,1,80,15.0,1,3,2025.0,https://www.propertyhub.site/properties/projects/jkjd9d4jxlqyzjqjj8x9?page=1,9,"8,368,773 - 11,364,196"
The City Valley,EG Master,New Capital,3304800,8434800,5683781.25,68,213,146.75,0,4,2025.0,https://www.propertyhub.site/properties/projects/jnbdr0uk0cd3z21e1b4w?page=1,8,"3,304,800 - 8,434,800"
jnoub,oud,New Capital,3900000,7820000,5217500.0,119,246,164.75,2,4,2025.0,https://www.propertyhub.site/properties/projects/jnoub?page=1,8,"3,900,000 - 7,820,000"
Joulz,Inertia,6th Of October,13508000,38856000,19135178.57142857,150,328,211.25,2,4,2025.0,https://www.propertyhub.site/properties/projects/joulz?page=1,28,"13,508,000 - 38,856,000"
June,Sodic,North Coast,19692000,231146000,41009952.84090909,3,226,66.51704545454545,1,7,2025.0,https://www.propertyhub.site/properties/projects/june?page=1,176,"19,692,000 - 231,146,000"
Jura El Galala,New Jersey,,7761000,29833160,14365573.9,78,245,127.1,2,3,2025.0,https://www.propertyhub.site/properties/projects/jura_el_galala?page=1,10,"7,761,000 - 29,833,160"
Moon Hills 5,sakan development,6th Of October,9700000,15000000,12350000.0,241,297,269.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/k0p2m8saqo9cops17hh9?page=1,2,"9,700,000 - 15,000,000"
KUKUN,TLD-The Land Developers,El Mostakbal City,17460000,27640000,23775406.25,205,288,235.375,3,5,2025.0,https://www.propertyhub.site/properties/projects/k7137plzcha0h1anatuv?page=1,8,"17,460,000 - 27,640,000"
Home Residence,Home Town,,3639044,12593187,7824474.8125,39,227,135.4375,0,4,2025.0,https://www.propertyhub.site/properties/projects/k74mv9w7lxbe8jovekzt?page=1,16,"3,639,044 - 12,593,187"
Monte Napoleone,Reportage Egypt,El Mostakbal City,4590000,29250000,12910344.827586208,60,436,187.7586206896552,1,6,2025.0,https://www.propertyhub.site/properties/projects/k8biqln1nhkuixe08xge?page=1,29,"4,590,000 - 29,250,000"
katameya coast,star light,North Coast,25081000,193700000,92453250.0,175,606,367.8333333333333,2,9,2025.0,https://www.propertyhub.site/properties/projects/katameya_coast?page=1,24,"25,081,000 - 193,700,000"
katamya creeks,star light,New Cairo,29340000,131440000,61168888.88888889,161,850,373.1111111111111,2,8,2025.0,https://www.propertyhub.site/properties/projects/katamya_creeks?page=1,18,"29,340,000 - 131,440,000"
Katameya Gardens,North Africa,New Cairo,6900000,72579000,26131580.35714286,125,1057,409.8571428571428,2,7,2025.0,https://www.propertyhub.site/properties/projects/katamya_gardens?page=1,14,"6,900,000 - 72,579,000"
kayan,Badr Eldin,6th Of October,4214773,9349913,7675662.5,60,130,109.8076923076923,1,3,2025.0,https://www.propertyhub.site/properties/projects/kayan?page=1,26,"4,214,773 - 9,349,913"
keeva,Al Ahly Sabbour,6th Of October,41268000,42253000,41760500.0,265,265,265.0,5,5,2025.0,https://www.propertyhub.site/properties/projects/keeva?page=1,2,"41,268,000 - 42,253,000"
Bianca,Malvern,6th Of October,12297116,17905000,15101058.0,376,437,406.5,3,3,2025.0,https://www.propertyhub.site/properties/projects/kew3ifp0d05rayvmi3z3?page=1,2,"12,297,116 - 17,905,000"
Oro New Capital,AMG,New Capital,6353600,9362535,8163158.886666667,152,210,200.1266666666667,2,4,2025.0,https://www.propertyhub.site/properties/projects/kfcqywbk4smwvtpi84xg?page=1,150,"6,353,600 - 9,362,535"
Belong,Centrada,6th Of October,12565000,19657868,15134986.788888888,237,310,278.02222222222224,3,4,2025.0,https://www.propertyhub.site/properties/projects/kgen9c0gd9qhzgs0ddav?page=1,90,"12,565,000 - 19,657,868"
Triangle,Waterway,New Cairo,24909000,64623000,47537500.0,248,460,371.8,4,7,2025.0,https://www.propertyhub.site/properties/projects/kqwtkhnshawjklv7hw3y?page=1,10,"24,909,000 - 64,623,000"
Jirian Palm Hills,Palm Hills,,7874000,75612000,18157975.708502024,62,405,142.61133603238866,1,8,2025.0,https://www.propertyhub.site/properties/projects/ku1atqi6unuzkuepws13?page=1,494,"7,874,000 - 75,612,000"
D.O.S.E,Akam Alrajhi,North Coast,9782500,109000000,19097448.25,65,620,115.05,1,11,2025.0,https://www.propertyhub.site/properties/projects/kzuys2kykgw0ox81pz72?page=1,80,"9,782,500 - 109,000,000"
Degla Palms,Meamar Al Morshedy,6th Of October,1817100,4634100,2890357.1428571427,35,110,79.85714285714286,1,3,2025.0,https://www.propertyhub.site/properties/projects/l6oq0t0cehca91puxd63?page=1,7,"1,817,100 - 4,634,100"
La Mirada,La Mirada,El Mostakbal City,6158635,26103609,12632653.923076924,97,262,175.02564102564102,2,4,2025.0,https://www.propertyhub.site/properties/projects/la_mirada?page=1,39,"6,158,635 - 26,103,609"
La Vista 6,La Vista,,9800000,50000000,18992500.0,130,400,188.75,3,6,2025.0,https://www.propertyhub.site/properties/projects/la_vista_6?page=1,8,"9,800,000 - 50,000,000"
La Vista 7,La Vista,,9600000,44000000,17729166.666666668,120,400,188.33333333333331,2,4,2025.0,https://www.propertyhub.site/properties/projects/la_vista_7?page=1,6,"9,600,000 - 44,000,000"
La Vista Bay East,La Vista,North Coast,17500000,100000000,40584615.38461538,110,400,190.7692307692308,2,6,2025.0,https://www.propertyhub.site/properties/projects/la_vista_bay_east?page=1,13,"17,500,000 - 100,000,000"
La Vista Cascada,La Vista,North Coast,24800000,24800000,24800000.0,185,185,185.0,5,5,2025.0,https://www.propertyhub.site/properties/projects/la_vista_cascada?page=1,1,"24,800,000 - 24,800,000"
La Vista Gardens,La Vista,,11200000,18000000,15091666.666666666,130,180,153.33333333333334,3,4,2025.0,https://www.propertyhub.site/properties/projects/la_vista_gardens?page=1,12,"11,200,000 - 18,000,000"
La Vista Ras El Hikma,La Vista,North Coast,15980000,66000000,24744444.444444444,120,250,163.88888888888889,2,6,2025.0,https://www.propertyhub.site/properties/projects/la_vista_ras_el_hikma?page=1,18,"15,980,000 - 66,000,000"
La Vista Ray,La Vista,,9200000,42800000,15920357.142857144,110,220,145.35714285714286,2,3,2025.0,https://www.propertyhub.site/properties/projects/la_vista_ray?page=1,14,"9,200,000 - 42,800,000"
La Vista Topaz,La Vista,,8900000,17950000,14168750.0,140,190,161.25,2,4,2025.0,https://www.propertyhub.site/properties/projects/la_vista_topaz?page=1,8,"8,900,000 - 17,950,000"
Latin Settlement (SED),SED,North Coast,6845000,16158000,10807739.281575898,1,245,66.20509849362688,1,4,2025.0,https://www.propertyhub.site/properties/projects/latin_settlement?page=1,863,"6,845,000 - 16,158,000"
L'AVENIR,Al Ahly Sabbour,El Mostakbal City,17138000,21972000,19555000.0,220,220,220.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/lavenir?page=1,2,"17,138,000 - 21,972,000"
Leaves,ELATTAL Holding,6th Of October,6315000,15103000,10987538.461538462,75,190,143.07692307692307,1,3,2025.0,https://www.propertyhub.site/properties/projects/leaves?page=1,13,"6,315,000 - 15,103,000"
JAZAL,Legacy,Sheikh Zayed City,7747100,13167124,10995275.846153846,127,199,174.30769230769232,2,4,2025.0,https://www.propertyhub.site/properties/projects/lhvcjt7veqgrqpaatudf?page=1,13,"7,747,100 - 13,167,124"
Valley View 1,Brixton,6th Of October,19500000,24000000,21750000.0,286,294,290.0,4,4,2025.0,https://www.propertyhub.site/properties/projects/ljabxuqi9mgqxdh1ylm7?page=1,2,"19,500,000 - 24,000,000"
Ayaru,GuP,6th Of October,8900000,8900000,8900000.0,333,333,333.0,4,4,2025.0,https://www.propertyhub.site/properties/projects/loiaqjjdtklp0fgj0mt6?page=1,1,"8,900,000 - 8,900,000"
Ri8,ERG,New Capital,5128396,11804006,9984309.454545457,99,227,200.63636363636363,1,4,2025.0,https://www.propertyhub.site/properties/projects/m3p6sc12lsh65fkh3481?page=1,11,"5,128,396 - 11,804,006"
THE 8 new zayed,El Gabry,6th Of October,14193300,21246628,17979976.0,253,312,277.6666666666667,4,4,2025.0,https://www.propertyhub.site/properties/projects/m57esfqyhnvcoaqbrpf6?page=1,3,"14,193,300 - 21,246,628"
Marseilia Beach 5,Marseilia,North Coast,11500000,65500000,27900000.0,90,450,205.0,2,5,2025.0,https://www.propertyhub.site/properties/projects/marseilia_beach_5?page=1,12,"11,500,000 - 65,500,000"
Masaya,EGYGAB,North Coast,8694000,93750000,22586928.466666665,61,325,138.83333333333334,1,7,2025.0,https://www.propertyhub.site/properties/projects/masaya?page=1,30,"8,694,000 - 93,750,000"
Masyaf,M Squared,North Coast,12737554,238042927,36096329.571428575,75,365,148.0952380952381,1,6,2025.0,https://www.propertyhub.site/properties/projects/masyaf?page=1,42,"12,737,554 - 238,042,927"
